CountOfRecords,MAIN_CONDITION,MAIN_OPERATION,MAIN_OPERATION_B,OTHER_OPERATION_1,OTHER_OPERATION_1B,OTHER_OPERATION_2,OTHER_OPERATION_2B,OTHER_OPERATION_3,OTHER_OPERATION_3B
8,-0020,,,,,,,,
6,-0021,,,,,,,,
328,-0030,,,,,,,,
19,-0031,,,,,,,,
123,-0039,,,,,,,,
10,-0041,,,,,,,,
91,-0043,,,,,,,,
31,-0049,,,,,,,,
10,-0050,,,,,,,,
120,-0059,,,,,,,,
75,-0071,,,,,,,,
17,-0072,,,,,,,,
23,-0080,,,,,,,,
292,-0084,,,,,,,,
21,-00840,,,,,,,,
113,-00849,,,,,,,,
16,-0085,,,,,,,,
279,-0086,,,,,,,,
1609,-0088,,,,,,,,
114,-0090,,,,,,,,
3084,-0091,,,,,,,,
24,-0091,4689,,,,,,,
7,-0091,G459,,,,,,,
12,-0091,H229,,,,,,,
15,-0091,H289,,,,,,,
6,-0091,4681,,,,,,,
52,-0092,,,,,,,,
1006,-0093,,,,,,,,
14,-0093,4681,,,,,,,
14,-0093,H229,,,,,,,
6,-0093,4319,,4689,,,,,
11,-0093,4319,,,,,,,
98,-0093,4689,,,,,,,
14,-0093,H289,,,,,,,
6,-0112,,,,,,,,
81,-0119,,,,,,,,
32,-01192,,,,,,,,
17,-01199,E491,,,,,,,
274,-01199,,,,,,,,
19,-01199,3409,,,,,,,
12,-01209,,,,,,,,
8,-01499,,,,,,,,
10,-0172,,,,,,,,
15,-01729,,,,,,,,
6,-0239,,,,,,,,
10,-0310,,,,,,,,
306,-0339,,,,,,,,
175,-0340,,,,,,,,
47,-0341,,,,,,,,
123,-0359,,,,,,,,
58,-0362,,,,,,,,
38,-0380,,,,,,,,
58,-0381,,,,,,,,
40,-0382,,,,,,,,
92,-0384,,,,,,,,
26,-0388,,,,,,,,
742,-0389,,,,,,,,
8,-0400,,,,,,,,
19,-0410,,,,,,,,
25,-0411,,,,,,,,
24,-0415,,,,,,,,
6,-0417,,,,,,,,
18,-0418,,,,,,,,
41,-0418,G451,,,,,,,
18,-0419,,,,,,,,
6,-0512,,,,,,,,
309,-0529,,,,,,,,
10,-0531,,,,,,,,
482,-0539,,,,,,,,
46,-0540,,,,,,,,
37,-0541,,,,,,,,
185,-0542,,,,,,,,
104,-0549,,,,,,,,
213,-0559,,,,,,,,
24,-0569,,,,,,,,
46,-0578,,,,,,,,
9,-0579,,,,,,,,
65,-0729,,,,,,,,
17,-0739,,,,,,,,
33,-0741,,,,,,,,
9,-0743,,,,,,,,
360,-0759,,,,,,,,
7,-0780,9139,,,,,,,
9,-0781,9649,,9159,,,,,
168,-0781,7359,,,,,,,
10,-0781,P062,,,,,,,
6,-0781,P203,,,,,,,
39,-0781,9139,,,,,,,
11,-0781,6639,,,,,,,
6,-0781,4809,,,,,,,
9,-0781,S068,,,,,,,
7,-0781,9399,,,,,,,
9,-0781,H492,,,,,,,
15,-0781,9129,,,,,,,
7,-0781,P054,,,,,,,
206,-0781,9159,,,,,,,
151,-0781,P063,,,,,,,
6,-0781,M459,,,,,,,
24,-0781,4992,,,,,,,
7,-0781,7359,,9649,,,,,
34,-0781,9149,,,,,,,
10,-0781,9159,,9649,,,,,
59,-0781,H483,,,,,,,
8,-0781,Q023,,,,,,,
12,-0781,4841,,,,,,,
43,-0781,H491,,,,,,,
67,-0781,,,,,,,,
6,-0781,7249,,,,,,,
90,-0788,,,,,,,,
7,-0790,,,,,,,,
27,-0792,,,,,,,,
16,-0799,A559,,,,,,,
2506,-0799,,,,,,,,
45,-0840,,,,,,,,
39,-0841,,,,,,,,
