Location,Location_RecordCount,MaritalStatusNumeric,MaritalStatusNumeric_RecordCount,MaritalStatusAlpha,MaritalStatusAlpha_RecordCount,Specialty,Specialty_RecordCount
F805H,159467,2,229130,A,16112,F3,337127
T101H,156512,1,116992,Z,15469,,190526
T202H,68372,,44724,B,15408,T21,18468
F705H,45656,8,36387,Y,7071,E11,6391
T001A,40241,9,21220,D,62,T2,273
T114H,22964,5,3245,F,55,,
T002A,10642,4,2517,C,16,,
T304H,10440,3,357,H,9,,
T308H,7412,,,J,6,,
F002A,7081,,,,44724,,
T312H,6027,,,,,,
T310H,3944,,,,,,
V201H,1808,,,,,,
T201H,1517,,,,,,
S227H,1370,,,,,,
T209H,1362,,,,,,
T306H,1237,,,,,,
S314H,769,,,,,,
V001A,648,,,,,,
N101H,489,,,,,,
S308H,451,,,,,,
T313H,410,,,,,,
N002A,403,,,,,,
V102H,397,,,,,,
V002A,374,,,,,,
T102H,322,,,,,,
N161H,307,,,,,,
G515H,303,,,,,,
V105B,279,,,,,,
G002A,248,,,,,,
T207H,206,,,,,,
F804H,129,,,,,,
H202H,114,,,,,,
G108H,92,,,,,,
L002A,84,,,,,,
T200N,63,,,,,,
G405H,60,,,,,,
A103H,57,,,,,,
G001A,49,,,,,,
T001N,48,,,,,,
S001A,43,,,,,,
L308H,31,,,,,,
C418H,30,,,,,,
B002A,23,,,,,,
S105H,22,,,,,,
N162H,19,,,,,,
A002A,18,,,,,,
T004N,16,,,,,,
S207H,15,,,,,,
B120H,15,,,,,,
C408H,14,,,,,,
H002A,13,,,,,,
L102H,11,,,,,,
S116H,11,,,,,,
Y104H,10,,,,,,
S118H,10,,,,,,
T300N,8,,,,,,
A111H,8,,,,,,
L208H,7,,,,,,
Y102H,7,,,,,,
Y101H,7,,,,,,
C206H,7,,,,,,
N163H,7,,,,,,
C313H,7,,,,,,
H212H,6,,,,,,
C309H,6,,,,,,
Y144H,5,,,,,,
