LocalClinicalCodeValue,ReadCodeValue,hb_extract,SampleName,ArithmeticComparator,Interpretation,QuantityUnit,RangeHighValue,RangeLowValue,RecordCount,QVAverage,QVStandardDev
%O2       ,44Y9.,T,Arterial Blood,NULL,NULL,NULL,NULL,NULL,62,90.2951612903226,17.88904259751
0001,448n.,T,Blood,NULL,17-HYDROXYPROGESTERONE,NULL,NULL,NULL,30,NULL,NULL
0001,448n.,T,Blood,NULL,17-OH PROGESTERONE,NULL,NULL,NULL,28,NULL,NULL
0005,4484.,T,Blood,NULL,RENIN AND ALDOSTERONE,NULL,NULL,NULL,162,NULL,NULL
0006,44LE.,T,Blood,NULL,ALUMINIUM,NULL,NULL,NULL,310,NULL,NULL
0008,4475.,T,Blood,NULL,ANDROSTENEDIONE,NULL,NULL,NULL,70,NULL,NULL
0014,44CF.,T,Blood,NULL,B2-MICROGLOBULIN,NULL,NULL,NULL,75,NULL,NULL
0016,44ZE.,T,Blood,NULL,BILE ACIDS,NULL,NULL,NULL,51,NULL,NULL
0020,NULL,T,Blood,NULL,PEPTIDE SCREENING,NULL,NULL,NULL,13,NULL,NULL
0023,44a5.,T,Blood,NULL,CHROMOGRANIN A,NULL,NULL,NULL,187,NULL,NULL
0024,449E.,T,Blood,NULL,C-PEPTIDE,NULL,NULL,NULL,55,NULL,NULL
0025,NULL,T,Blood,NULL,TRACE NUTRIENT SCREEN,NULL,NULL,NULL,37,NULL,NULL
0026,44LF.,T,Blood,NULL,COPPER,NULL,NULL,NULL,121,NULL,NULL
0027,44A2.,T,Blood,NULL,CALCITONIN,NULL,NULL,NULL,40,NULL,NULL
0032,47E..,T,Faeces,NULL,FAECAL ELASTASE,NULL,NULL,NULL,53,NULL,NULL
0034,4497.,T,Blood,NULL,SOMATOSTATIN,NULL,NULL,NULL,6,NULL,NULL
0035,44C5.,T,Blood,NULL,CAERULOPLASMIN,NULL,NULL,NULL,186,NULL,NULL
0036,4491.,T,Blood,NULL,GASTRIN,NULL,NULL,NULL,6,NULL,NULL
0040,44AB.,T,Blood,NULL,IGF1,NULL,NULL,NULL,548,NULL,NULL
0042,44X8.,T,Blood,NULL,LEAD,NULL,NULL,NULL,27,NULL,NULL
0043,46T1.,T,Urine,NULL,OXALATE,NULL,NULL,NULL,90,NULL,NULL
0044,44LC.,T,Blood,NULL,SELENIUM,NULL,NULL,NULL,30,NULL,NULL
0045,4Q95.,T,Blood,NULL,THIOPURINE METHYL TRANSFERASE,NULL,NULL,NULL,276,NULL,NULL
0049,4496.,T,Blood,NULL,VASOACTIVE PEPTIDE,NULL,NULL,NULL,13,NULL,NULL
0050,42ZE.,T,Blood,NULL,VITAMIN B1,NULL,NULL,NULL,17,NULL,NULL
0051,44LA.,T,Blood,NULL,25-HYDROXYVITAMIN D,NULL,NULL,NULL,2380,NULL,NULL
0052,44LK.,T,Blood,NULL,ZINC,NULL,NULL,NULL,127,NULL,NULL
0053,NULL,T,Blood,NULL,ALP ISOENZYMES,NULL,NULL,NULL,15,NULL,NULL
0054,4QC0.,T,Blood,NULL,PIIINP,NULL,NULL,NULL,306,NULL,NULL
0055,4L00.,T,Blood,NULL,ALPHA1 ANTITRYPSIN PHENOTYPING,NULL,NULL,NULL,26,NULL,NULL
0057,4Q32.,T,Fluid,NULL,ASIALOTRANSFERRIN,NULL,NULL,NULL,9,NULL,NULL
0058,4473.,T,Blood,NULL,EXTRACTED TESTOSTERONE,NULL,NULL,NULL,72,NULL,NULL
0060,NULL,T,Blood,NULL,C-TEOPEPTIDE (CTx),NULL,NULL,NULL,18,NULL,NULL
