TestCode,CountAppearances,AverageMonthAppearing,StandardDeviationMonthAppearing,ColumnAppearingIn
M8907,45,1264,92.177107743296,MAIN_CONDITION
-7850,170,1065,50.841469242922,MAIN_CONDITION
M8985,73,1273,82.7800789828556,MAIN_CONDITION
M2325,352,1297,73.7193660339751,MAIN_CONDITION
-74428,243,1001,19.2932421925363,MAIN_CONDITION
M4632,12,1391,30.0861137806855,MAIN_CONDITION
M4119,11,1294,63.7640537093956,MAIN_CONDITION
M7929,58,1367,83.0516133372425,MAIN_CONDITION
-3482,114,1070,53.8899065757267,MAIN_CONDITION
L020,288,1279,75.3033116223264,MAIN_CONDITION
C220,1578,1340,67.5192183594616,MAIN_CONDITION
J158,146,1308,79.1139109870543,MAIN_CONDITION
M6240,6,1298,88.8318636526331,MAIN_CONDITION
I676,9,1326,95.0694190812403,MAIN_CONDITION
Q788,14,1274,98.4115601178807,MAIN_CONDITION
S397,7,1296,89.5297237154875,MAIN_CONDITION
A180 D,54,1269,84.7838889571287,MAIN_CONDITION
Z955,7,1172,7.99702325571367,MAIN_CONDITION
-9766,13,1072,57.4505361381786,MAIN_CONDITION
A379,161,1255,81.1787571079412,MAIN_CONDITION
M2584,136,1303,65.3324846550186,MAIN_CONDITION
Q103,25,1285,89.8860945864269,MAIN_CONDITION
M2594,29,1291,68.3055652659825,MAIN_CONDITION
C678,150,1357,75.2231058914422,MAIN_CONDITION
S0601,17,1335,92.1733899969476,MAIN_CONDITION
Q240,21,1291,52.8379373087913,MAIN_CONDITION
-2102,253,1066,51.5579616962004,MAIN_CONDITION
-8822,303,1070,53.8907791116715,MAIN_CONDITION
-V589,12,1097,46.9837979810836,MAIN_CONDITION
G412,41,1275,66.8130810910418,MAIN_CONDITION
C700,65,1300,69.768394321167,MAIN_CONDITION
-3824,23,1072,45.30751318477,MAIN_CONDITION
K765,9,1398,16.8432314133748,MAIN_CONDITION
-9670,170,1018,44.0298481963803,MAIN_CONDITION
S881,24,1275,73.1652759763513,MAIN_CONDITION
M4306,25,1334,68.0261469338566,MAIN_CONDITION
-3768,8,1085,58.8094683824686,MAIN_CONDITION
-6140,42,1054,61.5862708504015,MAIN_CONDITION
D25059,22,1009,25.1272518966703,MAIN_CONDITION
-4299,34,1057,57.8408906177192,MAIN_CONDITION
-V762,10,1028,62.9575694857703,MAIN_CONDITION
G546,82,1291,77.4646319040205,MAIN_CONDITION
M0297,7,1372,25.8005167906898,MAIN_CONDITION
-2701,10,1050,60.1224676066373,MAIN_CONDITION
T233,91,1289,72.2057939425691,MAIN_CONDITION
D239,87,1271,65.0073896237476,MAIN_CONDITION
D293,13,1326,71.6055792125097,MAIN_CONDITION
-53019,672,1004,21.9264013577876,MAIN_CONDITION
-6950,23,1049,56.1304592756735,MAIN_CONDITION
-1742,41,1136,36.5512670361947,MAIN_CONDITION
M232,628,1259,71.6431740637362,MAIN_CONDITION
T188,18,1279,62.4140716495021,MAIN_CONDITION
T824,384,1303,78.2386915570554,MAIN_CONDITION
